fin,url
ahomansikka,https://mappa.fi/lajikortit/ahomansikka/?referrer=aWQ9NTEwNjM
ojakellukka,https://mappa.fi/lajikortit/ojakellukka/?referrer=aWQ9NTEwNjM
kyläkellukka,https://mappa.fi/lajikortit/kylakellukka/?referrer=aWQ9NTEwNjM
lehtotuomi,https://mappa.fi/lajikortit/lehtotuomi/?referrer=aWQ9NTEwNjM
kurtturuusu,https://mappa.fi/lajikortit/kurtturuusu/?referrer=aWQ9NTEwNjM
muurain,https://mappa.fi/lajikortit/muurain-lakka-hilla/?referrer=aWQ9NTEwNjM
vadelma,https://mappa.fi/lajikortit/vadelma/?referrer=aWQ9NTEwNjM
lillukka,https://mappa.fi/lajikortit/lillukka/?referrer=aWQ9NTEwNjM
pihlaja,https://mappa.fi/lajikortit/pihlaja/?referrer=aWQ9NTEwNjM
isonokkonen,https://mappa.fi/lajikortit/nokkonen/?referrer=aWQ9NTEwNjM
metsävaahtera,https://mappa.fi/lajikortit/vaahtera/?referrer=aWQ9NTEwNjM
isomaksaruoho,https://mappa.fi/lajikortit/isomaksaruoho/?referrer=aWQ9NTEwNjM
lehtoruusukesammal,https://mappa.fi/lajikortit/lehtoruusukesammal/?referrer=aWQ9NTEwNjM
palmusammal,https://mappa.fi/lajikortit/palmusammal/?referrer=aWQ9NTEwNjM
metsäkerrossammal,https://mappa.fi/lajikortit/metsakerrossammal/?referrer=aWQ9NTEwNjM
seinäsammal,https://mappa.fi/lajikortit/seinasammal/?referrer=aWQ9NTEwNjM
sulkasammal,https://mappa.fi/lajikortit/sulkasammal/?referrer=aWQ9NTEwNjM
rakkohauru (rakkolevä),https://mappa.fi/lajikortit/rakkohauru/?referrer=aWQ9NTEwNjM
viherahdinparta,https://mappa.fi/lajikortit/viherahdinparta/?referrer=aWQ9NTEwNjM
palleroporonjäkälä,https://mappa.fi/lajikortit/palleroporonjakala/?referrer=aWQ9NTEwNjM
tummalupot,https://mappa.fi/lajikortit/tummalupot/?referrer=aWQ9NTEwNjM
isohirvenjäkälä,https://mappa.fi/lajikortit/isohirvenjakala/?referrer=aWQ9NTEwNjM
valkohankajäkälä,https://mappa.fi/lajikortit/valkohankajakala/?referrer=aWQ9NTEwNjM
sormipaisukarve,https://mappa.fi/lajikortit/sormipaisukarve/?referrer=aWQ9NTEwNjM
raidanisokarve,https://mappa.fi/lajikortit/raidanisokarve/?referrer=aWQ9NTEwNjM
harmaaröyhelö,https://mappa.fi/lajikortit/harmaaroyhelo/?referrer=aWQ9NTEwNjM
naavat,https://mappa.fi/lajikortit/naavat/?referrer=aWQ9NTEwNjM
keltaröyhelö,https://mappa.fi/lajikortit/keltaroyhelo/?referrer=aWQ9NTEwNjM
isorustojäkälä,https://mappa.fi/lajikortit/isorustojakala/?referrer=aWQ9NTEwNjM
keltakarttajäkälä,https://mappa.fi/lajikortit/keltakarttajakala/?referrer=aWQ9NTEwNjM
haavankeltajäkälä,https://mappa.fi/lajikortit/haavankeltajakala/?referrer=aWQ9NTEwNjM
haavanläiskäjäkälä,https://mappa.fi/lajikortit/haavanlaiskajakala/?referrer=aWQ9NTEwNjM
korvasieni,https://mappa.fi/lajikortit/korvasieniryhma/?referrer=aWQ9NTEwNjM
suomumustesieni,https://mappa.fi/lajikortit/suomumustesieni/?referrer=aWQ9NTEwNjM
punakärpässieni,https://mappa.fi/lajikortit/punakarpassieni/?referrer=aWQ9NTEwNjM
valkokärpässieni,https://mappa.fi/lajikortit/valkokarpassieni/?referrer=aWQ9NTEwNjM
suippumyrkkyseitikki,https://mappa.fi/lajikortit/suippumyrkkyseitikki/?referrer=aWQ9NTEwNjM
känsätuhkelo,https://mappa.fi/lajikortit/kansatuhkelo/?referrer=aWQ9NTEwNjM
herkkutatti,https://mappa.fi/lajikortit/herkkutatti/?referrer=aWQ9NTEwNjM
punikkitatit,https://mappa.fi/lajikortit/punikkitatit/?referrer=aWQ9NTEwNjM
limanuljaska,https://mappa.fi/lajikortit/limanuljaska/?referrer=aWQ9NTEwNjM
mustatorvisieni,https://mappa.fi/lajikortit/mustatorvisieni/?referrer=aWQ9NTEwNjM
suppilovahvero,https://mappa.fi/lajikortit/suppilovahvero/?referrer=aWQ9NTEwNjM
keltavahvero,https://mappa.fi/lajikortit/keltavahvero/?referrer=aWQ9NTEwNjM
pakurikääpä,https://mappa.fi/lajikortit/pakurikaapa/?referrer=aWQ9NTEwNjM
kantokääpä,https://mappa.fi/lajikortit/kantokaapa/?referrer=aWQ9NTEwNjM
rusokantokääpä,https://mappa.fi/lajikortit/rusokantokaapa/?referrer=aWQ9NTEwNjM
pökkelökääpä,https://mappa.fi/lajikortit/pokkelokaapa/?referrer=aWQ9NTEwNjM
lampaankääpä,https://mappa.fi/lajikortit/lampaankaapa/?referrer=aWQ9NTEwNjM
karvarousku,https://mappa.fi/lajikortit/karvarousku/?referrer=aWQ9NTEwNjM
haaparousku,https://mappa.fi/lajikortit/haaparousku/?referrer=aWQ9NTEwNjM
keltahapero,https://mappa.fi/lajikortit/keltahapero/?referrer=aWQ9NTEwNjM
kangashapero,https://mappa.fi/lajikortit/kangashapero/?referrer=aWQ9NTEwNjM
keltasarvikka,https://mappa.fi/lajikortit/keltasarvikka/?referrer=aWQ9NTEwNjM
